Sample,A1′(fast601),A2′(mid601),A3′(slow601),B1′(fast602),B2′(mid602),B3′(slow602),R²,Frac601_total,Frac602_total
511,1.5876,0.2578,0.0,91.192,0.0,0.1236,0.9911,0.0198,0.9802
512,2.069,0.1347,0.0088,101.1193,0.0,0.0701,0.9955,0.0214,0.9786
513,1.9437,0.1664,0.0058,105.4733,0.0,0.0604,0.9968,0.0197,0.9803
514,1.945,0.1301,0.0207,111.8452,0.0,0.0466,0.9965,0.0184,0.9816
515,1.9364,0.1939,0.0,84.3544,0.0,0.1159,0.9946,0.0246,0.9754
516,1.7289,0.2118,0.0,113.5988,0.0,0.0478,0.9982,0.0168,0.9832
517,1.8172,0.1461,0.0,124.6819,0.0,0.041,0.9984,0.0155,0.9845
518,2.0832,0.0685,0.0,133.2284,0.0,0.0154,0.9982,0.0159,0.9841
522(2),1.0535,0.0998,0.0026,164.8204,0.097,0.0465,0.998,0.007,0.993
523(2),1.0151,0.4015,0.0,87.9167,0.0,0.1521,0.982,0.0158,0.9842
524(2),0.9858,0.4175,0.0,69.3525,0.0,0.2019,0.9807,0.0198,0.9802
526(2),0.9646,0.2975,0.0,121.6552,0.0,0.117,0.9873,0.0103,0.9897
527(2),1.1214,0.3143,0.0,107.6405,0.0,0.1222,0.9871,0.0131,0.9869
529(2),1.408,0.2108,0.0,113.8271,0.0,0.1138,0.9925,0.014,0.986
530(2),0.3259,0.1564,0.037,48.3576,0.9819,0.1349,0.9904,0.0104,0.9896
535,1.5105,0.2677,0.0,86.6739,0.1656,0.0692,0.9982,0.0201,0.9799
601(2),0.9869,0.4069,0.2412,19.8683,0.1869,0.0061,0.9542,0.0754,0.9246
602(2),0.2591,0.0171,0.0056,88.3127,0.7081,0.2747,0.973,0.0031,0.9969
