Sample,Slice#,Frac_601(2),Frac_602(2)
511,1,0.009849203745652593,0.9901507962543474
511,2,0.008957256955264175,0.9910427430447358
511,3,0.010116381832000183,0.9898836181679997
511,4,0.015494900912324036,0.984505099087676
511,5,0.005994518810241585,0.9940054811897585
511,6,0.010142293817009184,0.9898577061829908
511,7,0.008918049894395064,0.991081950105605
511,8,0.007058544562815525,0.9929414554371845
511,9,0.012786820268779142,0.9872131797312208
511,10,0.008646582332021221,0.9913534176679787
511,11,0.059852418207362194,0.9401475817926378
511,12,0.01252165324426854,0.9874783467557315
511,13,0.01398869886293954,0.9860113011370604
511,14,0.007205976605057666,0.9927940233949424
511,15,0.028946607610704864,0.9710533923892951
511,16,0.007242915003886873,0.992757084996113
511,17,0.008739451735031309,0.9912605482649687
511,18,0.017693384465079894,0.9823066155349202
511,19,0.009678030303437675,0.9903219696965624
511,20,0.028095484825633284,0.9719045151743667
511,21,0.027109385881056727,0.9728906141189434
511,22,0.017380480423436893,0.9826195195765631
511,23,0.017202769453849617,0.9827972305461504
511,24,0.008905837425830567,0.9910941625741695
512,1,0.020845048175508998,0.979154951824491
512,2,0.009097211503183178,0.9909027884968168
512,3,0.022470904600915324,0.9775290953990847
512,4,0.011712060315066561,0.9882879396849334
512,5,0.12575243729655144,0.8742475627034486
512,6,0.012533802583116276,0.9874661974168838
512,7,0.00571710012550844,0.9942828998744915
512,8,0.017731167207027505,0.9822688327929725
512,9,0.013523440057617615,0.9864765599423824
512,10,0.010338421904673493,0.9896615780953265
512,11,0.009250475476578039,0.990749524523422
512,12,0.02062314453535946,0.9793768554646405
512,13,0.009095788931152815,0.9909042110688472
512,14,0.009989639687777118,0.9900103603122229
512,15,0.01087680900201783,0.9891231909979822
512,16,0.008403873019999312,0.9915961269800007
512,17,0.029841254336033348,0.9701587456639666
512,18,0.017746836031047316,0.9822531639689527
512,19,0.008345071623812426,0.9916549283761875
512,20,0.014224612903695576,0.9857753870963045
512,21,0.013172501660660014,0.9868274983393399
512,22,0.013861307936940778,0.9861386920630593
512,23,0.01735533243141234,0.9826446675685877
513,1,0.013126633928089108,0.9868733660719109
513,2,0.010801020476722224,0.9891989795232778
513,3,0.02242429423803898,0.977575705761961
513,4,0.011116129858294516,0.9888838701417055
513,5,0.009508974728708448,0.9904910252712915
513,6,0.00943189018823661,0.9905681098117634
513,7,0.03162286962524523,0.9683771303747547
513,8,0.01385704906206422,0.9861429509379358
513,9,0.009741306677928059,0.9902586933220718
513,10,0.014660807076573072,0.9853391929234269
513,11,0.00948507500608351,0.9905149249939165
513,12,0.014230876245614001,0.985769123754386
513,13,0.008262202243406385,0.9917377977565937
513,14,0.009655253881847695,0.9903447461181523
513,15,0.015972353330060605,0.9840276466699395
513,16,0.00862228958900208,0.991377710410998
513,17,0.010577112170378619,0.9894228878296213
513,18,0.019997345115715843,0.9800026548842842
513,19,0.015334943819903402,0.9846650561800966
513,20,0.013588141944516217,0.9864118580554837
513,21,0.019780176787471432,0.9802198232125285
513,22,0.011938444156951767,0.9880615558430482
513,23,0.012118686930640854,0.9878813130693591
513,24,0.010680517026110696,0.9893194829738894
514,1,0.010254319138600152,0.9897456808613999
514,2,0.009466660253801945,0.9905333397461981
514,3,0.013071346893681954,0.986928653106318
514,4,0.013149431708705224,0.9868505682912948
514,5,0.012786385676023476,0.9872136143239765
514,6,0.011872889869554272,0.9881271101304457
514,7,0.011897291595155643,0.9881027084048443
514,8,0.011204286312374375,0.9887957136876255
514,9,0.011921727215452973,0.9880782727845471
514,10,0.01149184494010956,0.9885081550598904
514,11,0.010893688804506621,0.9891063111954934
