Sample,Slice#,Frac_511,Frac_535
511,1,0.0,1.0
511,2,0.052901981575235416,0.9470980184247646
511,3,0.10131494315787996,0.8986850568421201
511,4,1.0,0.0
511,5,0.02110090678318974,0.9788990932168102
511,6,0.027608480646439736,0.9723915193535603
511,7,0.041422444595039375,0.9585775554049606
511,8,0.030648883966093304,0.9693511160339067
511,9,0.9848966358588626,0.015103364141137426
511,10,0.0,1.0
511,11,0.9519709615094455,0.04802903849055456
511,12,0.9986715360472783,0.0013284639527217186
511,13,0.12366173286904454,0.8763382671309555
511,14,0.03220071374840641,0.9677992862515936
511,15,0.96319156105321,0.03680843894679006
511,16,0.03762833285692529,0.9623716671430748
511,17,0.008326623913131685,0.9916733760868683
511,18,0.32834438067209937,0.6716556193279007
511,19,0.15510913936707668,0.8448908606329234
511,20,0.9792656637461411,0.020734336253858895
511,21,0.9500085288511005,0.04999147114889937
511,22,0.9748014021262313,0.02519859787376867
511,23,0.9759971070171385,0.024002892982861575
511,24,0.03210010675177506,0.9678998932482249
512,1,0.9764410364400387,0.023558963559961333
512,2,0.0,1.0
512,3,0.963452711892288,0.036547288107711996
512,4,0.41463717596501165,0.5853628240349883
512,5,0.9686553812971408,0.03134461870285925
512,6,0.38028034824352425,0.6197196517564758
512,7,0.0,1.0
512,8,0.9734636758916175,0.026536324108382504
512,9,0.8089474144274602,0.1910525855725398
512,10,0.0,1.0
512,11,0.01185627856551666,0.9881437214344834
512,12,0.9554239452137394,0.0445760547862606
512,13,0.0,1.0
512,14,0.0,1.0
512,15,0.037525199648041456,0.9624748003519585
512,16,0.0,1.0
512,17,0.9339295781033468,0.06607042189665321
512,18,0.9860463322930714,0.013953667706928689
512,19,0.0,1.0
512,20,0.981536837210907,0.018463162789093043
512,21,0.9836729093395542,0.01632709066044583
512,22,0.449666812991498,0.5503331870085021
512,23,0.3760176693860245,0.6239823306139756
513,1,0.5988147678398524,0.4011852321601476
513,2,0.0,1.0
513,3,0.26788514651660317,0.7321148534833968
513,4,0.6962274809860782,0.30377251901392177
513,5,0.0,1.0
513,6,0.0,1.0
513,7,1.0,0.0
513,8,0.9798576561410779,0.02014234385892202
513,9,0.021912784496067973,0.9780872155039321
513,10,0.812936687162304,0.18706331283769592
