Sample,Mix601 (a),Mix602 (b),Slow C′,R²
511,0.9999999975872728,2.412727314039552e-09,55.2211493552126,0.2547778421527278
512,1.0000000144125107,0.0,39.08618073739881,0.1335318647448045
513,1.0000000378229608,0.0,49.920576602823935,0.1247738341670277
514,0.9999999982027192,1.8069527800236818e-09,40.49226755564639,0.12127259053566353
515,1.0000000118441237,0.0,59.797550546816026,0.2347239390671726
516,1.0000000237582307,0.0,57.64440274868314,0.10655226131287565
517,1.0000001844410389,0.0,96.61162755478388,0.10005240609555
518,1.000000198465804,0.0,76.8512652883382,0.02987285741495882
522(2),1.0000000806623017,9.286462067183866e-11,129.6293194447054,0.1297544836721951
523(2),0.9999999735895417,2.6410458320302865e-08,106.0135813928151,0.3679997823432888
524(2),1.000000005399538,0.0,86.73991237488008,0.4300535886104204
526(2),0.9999999809843723,1.9015627695144068e-08,139.6168329610257,0.31734555076614523
527(2),1.0000000620719869,8.287208405315987e-12,149.98880078691255,0.34486757608285
529(2),1.0000001008485473,5.394085381673478e-11,151.84077940008433,0.2852100214216866
530(2),0.9999999973687097,2.631290260992655e-09,76.21916156972198,0.3275046057444475
535,1.0000000351256557,0.0,100.42024184034672,0.16362302022734843
